artist,song,year
Emeli Sande,Read All About It (Pt. III),2013
Carly Rae Jepsen,Call Me Maybe,2013
2 Chainz & Wiz Khalifa,We Own It (Fast & Furious 6),2013
fun.,Some Nights,2013
Chris Brown,Love More,2013
Pink & Lily Allen,True Love,2013
Phil Phillips,Home,2013
Avicii & Nicky Romero,I Could Be The One,2013
Pharrell Williams,Happy,2014
John Legend,All Of Me,2014
Katy Perry,Dark Horse,2014
Clean Bandit & Jess Glynne,Rather Be,2014
Sam Smith,Stay With Me,2014
Pitbull & Ke$ha,Timber,2014
OneRepublic,Counting Stars,2014
Meghan Trainor,All About That Bass,2014
Iggy Azalea & Charli XCX,Fancy,2014
Magic!,Rude,2014
Nico & Vinz,Am I Wrong,2014
Sia,Chandelier,2014
Calvin Harris,Summer,2014
Mr Probz,Waves,2014
Ariana Grande & Iggy Azalea,Problem,2014
DJ Snake & Lil' Jon,Turn Down For What,2014
Taylor Swift,Shake It Off,2014
Tove Lo & Hippie Sabotage,Habits (Stay High),2014
Jason Derulo & 2 Chainz,Talk Dirty,2014
Bastille,Pompeii,2014
Coldplay,A Sky Full Of Stars,2014
Imagine Dragons,Demons,2014
Avicii,Wake Me Up,2014
Idina Menzel,Let It Go,2014
Avicii,"Hey, Brother",2014
Jason Derulo & Snoop Dogg,Wiggle,2014
Lorde,Team,2014
"Jessie J, Nicki Minaj & Ariana Grande",Bang Bang,2014
Ed Sheeran,Sing,2014
Milky Chance,Stolen Dance,2014
Maroon 5,Maps,2014
Iggy Azalea & Rita Ora,Black Widow,2014
Rihanna & Eminem,The Monster,2014
Chris Brown & Lil' Wayne,Loyal,2014
A Great Big World & Christina Aguilera,Say Something,2014
Passenger,Let Her Go,2014
American Authors,Best Day Of My Life,2014
Ed Sheeran,Don't!,2014
Enrique Iglesias,Bailando,2014
Ariana Grande & Zedd,Break Free,2014
Vance Joy,Riptide,2014
Charli XCX,Boom Clap,2014
OneRepublic,Love Runs Out,2014
One Direction,Story Of My Life,2014
Beyonce & Jay-Z,Drunk In Love,2014
Lorde,Royals,2014
Jason Derulo,Trumpets,2014
Disclosure & Sam Smith,Latch,2014
Kiesza,Hideaway,2014
Helene Fischer,Atemlos durch die Nacht,2014
Jeremih & YG,Don't Tell 'Em,2014
Lilly Wood & The Prick & Robin Schulz,Prayer In C (Robin Schulz Remix),2014
Martin Garrix,Animals,2014
Michael Jackson & Justin Timberlake,Love Never Felt So Good,2014
Calvin Harris & John Newman,Blame,2014
Aloe Blacc,The Man,2014
Ed Sheeran,I See Fire,2014
Ellie Goulding,Burn,2014
Kid Ink & Chris Brown,Show Me,2014
George Ezra,Budapest,2014
Hozier,Take Me To Church,2014
Nicki Minaj,Anaconda,2014
Katy Perry,Roar,2014
Imagine Dragons,Radioactive,2014
Shakira & Rihanna,Can't Remember To Forget You,2014
Justin Timberlake,Not A Bad Thing,2014
Coldplay,Magic,2014
Maroon 5,Animals,2014
David Guetta & Sam Martin,Lovers On The Sun,2014
Sam Smith,I'm Not The Only One,2014
Ella Henderson,Ghost,2014
Miley Cyrus,Wrecking Ball,2014
MKTO,Classic,2014
Trey Songz,Na Na,2014
Klingande,Jubel,2014
Avicii,Addicted To You,2014
"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,2014
5 Seconds of Summer,She Looks So Perfect,2014
Florida Georgia Line,This Is How We Roll,2014
Ed Sheeran,Thinking Out Loud,2014
Paramore,Ain't It Fun,2014
Faul & Wad Ad vs. Pnau,Changes,2014
Rixton,Me & My Broken Heart,2014
Echosmith,Cool Kids,2014
Andreas Bourani,Auf uns,2014
Mark Forster & Sido,Au revoir,2014
Katy Perry,Birthday,2014
Becky G,Shower,2014
Route 94 & Jess Glynne,My Love,2014
Bobby Shmurda,Hot Boy,2014
Pitbull & John Ryan,Fireball,2014
John Newman,Love Me Again,2014
Katy Perry,This Is How We Do,2014
Drake & Majid Jordan,"Hold On, We're Going Home",2014
Sigma,Nobody To Love,2014
Sam Smith,Money On My Mind,2014
Brantley Gilbert,Bottoms Up,2014
Naughty Boy & Sam Smith,La La La,2014
David Guetta & Sam Martin,Dangerous,2014
5 Seconds of Summer,Amnesia,2014
Mark Ronson & Bruno Mars,Uptown Funk,2015
OMI,Cheerleader,2015
Ed Sheeran,Thinking Out Loud,2015
Wiz Khalifa & Charlie Puth,See You Again,2015
Major Lazer & DJ Snake,Lean On,2015
Ellie Goulding,Love Me Like You Do,2015
Maroon 5,Sugar,2015
Walk the Moon,Shut Up & Dance,2015
Hozier,Take Me To Church,2015
Fetty Wap,Trap Queen,2015
Jason Derulo,Want To Want Me,2015
The Weeknd,Earned It (Fifty Shades Of Grey),2015
The Weeknd,Can't Feel My Face,2015
The Weeknd,The Hills,2015
Skrillex & Diplo,Where Are U Now,2015
Ed Sheeran,Photograph,2015
Taylor Swift,Blank Space,2015
"Rihanna, Kanye West & Paul McCartney",FourFiveSeconds,2015
Justin Bieber,What Do You Mean?,2015
"David Guetta, Nicki Minaj & Afrojack",Hey Mama,2015
Taylor Swift,Shake It Off,2015
Silento,Watch Me,2015
Fifth Harmony & Kid Ink,Worth It,2015
Flo-Rida & Sage The Gemini,G.D.F.R,2015
R City & Adam Levine,Locked Away,2015
Calvin Harris & Disciples,How Deep Is Your Love?,2015
Sia,Elastic Heart,2015
Taylor Swift & Kendrick Lamar,Bad Blood,2015
Lost Frequencies,Are You With Me,2015
Selena Gomez & ASAP Rocky,Good For You,2015
Rachel Platten,The Fight Song,2015
Drake,Hotline Bling,2015
Sam Smith,I'm Not The Only One,2015
Meghan Trainor,All About That Bass,2015
Meghan Trainor,Lips Are Movin,2015
Taylor Swift,Style,2015
Pitbull & Ne-Yo,Time Of Our Lives,2015
Shawn Mendes,Stitches,2015
Fetty Wap & Remy Boyz,679,2015
Felix Jaehn & Jasmine Thompson,Ain't Nobody (Loves Me Better),2015
Adele,Hello,2015
Nicky Jam & Enrique Iglesias,El Perdon (Forgiveness),2015
Sam Smith,Stay With Me,2015
Sia,Chandelier,2015
Rihanna,Bitch Better Have My Money,2015
Calvin Harris & Ellie Goulding,Outside,2015
Omarion & Chris Brown & Jhene Aiko,Post To Be,2015
Charlie Puth & Meghan Trainor,Marvin Gaye,2015
Kygo & Conrad,Firestone,2015
Natalie La Rose & Jeremih,Somebody,2015
Ariana Grande,One Last Time (Attends-moi),2015
One Direction,Drag Me Down,2015
Andy Grammer,"Honey, I'm Good",2015
Chris Brown & Tyga,Ayo,2015
Tove Lo,Talking Body,2015
X Ambassadors,Renegades,2015
Kygo & Parson James,Stole The Show,2015
Justin Bieber,Sorry,2015
James Newton Howard & Jennifer Lawrence,The Hanging Tree,2015
Sam Hunt,Take Your Time,2015
Robin Schulz & Francesco Yates,Sugar,2015
George Ezra,Budapest,2015
DJ Snake & AlunaGeorge,You Know You Like It,2015
James Bay,Hold Back The River,2015
Nick Jonas,Jealous,2015
Meghan Trainor,Dear Future Husband,2015
Macklemore & Ryan Lewis,Downtown,2015
Sam Smith,Lay Me Down,2015
Kelly Clarkson,Heartbeat Song,2015
David Guetta & Sam Martin,Dangerous,2015
Lost Frequencies & Janieck Devy,Reality,2015
Carly Rae Jepsen,I Really Like You,2015
Ellie Goulding,On My Mind,2015
Years & Years,King,2015
Fetty Wap & Monty,My Way,2015
Taylor Swift,Wildest Dreams,2015
Demi Lovato,Cool For The Summer,2015
Usher,I Don't Mind,2015
Vance Joy,Riptide,2015
"Flo-Rida, Robin Thicke & Verdine White","I Don't Like It, I Love It",2015
Fall Out Boy,Centuries,2015
Maroon 5,Animals,2015
"Jessie J, Nicki Minaj & Ariana Grande",Bang Bang,2015
Avicii,Waiting For Love,2015
Meghan Trainor & John Legend,Like I'm Gonna Lose You,2015
T-Wayne,Nasty Freestyle,2015
Ariana Grande,Love Me Harder,2015
John Legend,All Of Me,2015
Elle King,Ex's & Oh's,2015
Rich Homie Quan,Flex (Ooh Ooh Ooh),2015
Beyonce,7-11,2015
Fall Out Boy,Uma Thurman,2015
Sido & Andreas Bourani,Astronaut,2015
Zedd & Selena Gomez,I Want You To Know,2015
Little Big Town,Girl Crush,2015
Big Sean & E-40,I Don't F**k With You,2015
Jess Glynne,Hold My Hand,2015
Adam Lambert,Ghost Town,2015
feder & lyse,Goodbye,2015
Alessia Cara,Here,2015
Sia,Cheap Thrills,2016
"Drake, WizKid & Kyla",One Dance,2016
Justin Bieber,Love Yourself,2016
The Chainsmokers & Daya,Don't Let Me Down,2016
Twenty One Pilots,Stressed Out,2016
Justin Timberlake,Can't Stop The Feeling,2016
Lukas Graham,Seven Years,2016
Mike Posner,I Took A Pill In Ibiza,2016
Rihanna & Drake,Work,2016
Justin Bieber,Sorry,2016
Rihanna & Calvin Harris,This Is What You Came For,2016
Desiigner,Panda,2016
Fifth Harmony & Ty Dolla Sign,Work From Home,2016
The Chainsmokers & Halsey,Closer,2016
DNCE,Cake By The Ocean,2016
Twenty One Pilots,Heathens,2016
"Major Lazer, Justin Bieber & MO",Cold Water,2016
G-Eazy & Bebe Rexha,"Me, Myself & I",2016
DJ Snake & Justin Bieber,Let Me Love You,2016
Shawn Mendes,Stitches,2016
Shawn Mendes,Treat You Better,2016
Rihanna,Needed Me,2016
Kungs & Cookin' On 3 Burners,This Girl,2016
Twenty One Pilots,Ride,2016
Adele,Hello,2016
Alan Walker,Faded,2016
Flo-Rida,My House,2016
Coldplay,Hymn For The Weekend,2016
Rihanna & Drake,Too Good,2016
Zayn,Pillow talk,2016
The Weeknd & Daft Punk,Starboy,2016
Adele,Send My Love (To Your New Lover),2016
"Major Lazer, Nyla & Fuse ODG",Light It Up,2016
The Chainsmokers & Rozes,Roses,2016
Charlie Puth & Selena Gomez,We Don't Talk Anymore,2016
Justin Bieber,What Do You Mean?,2016
Zara Larsson & MNEK,Never Forget You,2016
Pink,Just Like Fire,2016
Gnash & Olivia O'Brien,I Hate U I Love U,2016
Charlie Puth,One Call Away,2016
Sia & Kendrick Lamar,The Greatest,2016
Ariana Grande,Into You,2016
"Lil' Wayne, Wiz Khalifa & Imagine Dragons",Sucker For Pain,2016
Drake,Controlla,2016
Drake,Hotline Bling,2016
Imany,Don't Be So Shy (Filatov & Karas Remix),2016
Ariana Grande,Dangerous Woman,2016
Ariana Grande & Nicki Minaj,Side To Side,2016
James Bay,Let It Go,2016
The Weeknd,The Hills,2016
Coldplay,Adventure Of A Lifetime,2016
Kent Jones,Don't Mind,2016
Disturbed,The Sound Of Silence,2016
Meghan Trainor,No,2016
Kiiara,Gold,2016
Selena Gomez,Hands To Myself,2016
Martin Garrix & Bebe Rexha,In The Name Of Love,2016
Flume & Kai,Never Be Like You,2016
DRAM & Lil Yachty,Broccoli,2016
Zara Larsson,Lush Life,2016
Future & The Weeknd,Low Life,2016
Hailee Steinfeld & Grey,Starving,2016
Calvin Harris,My Way,2016
Rae Sremmurd & Gucci Mane,Black Beatles,2016
Bruno Mars,24K Magic,2016
Elle King,Ex's & Oh's,2016
DJ Snake & Bipolar Sunshine,Middle,2016
Jonas Blue,Fast Car,2016
Rag'n'Bone Man,Human,2016
Major Lazer & DJ Snake,Lean On,2016
Alessia Cara,Here,2016
Adele,When We Were Young,2016
Robin Schulz & Francesco Yates,Sugar,2016
Nick Jonas & Tove Lo,Close,2016
Meghan Trainor,Me Too,2016
Bryson Tiller,Don't!,2016
Stereoact & Kerstin Ott,Die immer lacht,2016
Future & Drake,Jumpman,2016
X Ambassadors,Unsteady,2016
Matt Simons,Catch & Release (Deepend Remix),2016
Selena Gomez,Same Old Love,2016
Tory Lanez,LUV,2016
Galantis,No Money,2016
James Arthur,Say You Won't Let Go,2016
The Weeknd,Can't Feel My Face,2016
Florida Georgia Line,H.O.L.Y.,2016
Jeremih,oui,2016
DJ Khaled & Drake,For Free,2016
Bryson Tiller,Exchange,2016
Maroon 5 & Kendrick Lamar,I Don't Wanna Know,2016
Kevin Gates,2 Phones,2016
The Weeknd,In The Night,2016
Enrique Iglesias & Wisin,Duele el corazon,2016
David Guetta & Zara Larsson,This One's For You,2016
Fetty Wap & Remy Boyz,679,2016
Mike Perry & Shy Martin,The Ocean,2016
Jennifer Lopez,Ain't Your Mama,2016
Fifth Harmony & Fetty Wap,All In My Head,2016
Ruth B,Lost Boy,2016
Drake & The Throne,Pop Style,2016
Ed Sheeran,Shape Of You,2017
Luis Fonsi & Daddy Yankee,Despacito,2017
The Chainsmokers & Coldplay,Something Just Like This,2017
French Montana & Swae Lee,Unforgettable,2017
Bruno Mars,That's What I Like,2017
Imagine Dragons,Believer,2017
Charlie Puth,Attention,2017
Kygo & Selena Gomez,It Ain't Me,2017
Shawn Mendes,There's Nothing Holdin' Me Back,2017
Ed Sheeran,Castle On The Hill,2017
Imagine Dragons,Thunder,2017
Kendrick Lamar,Humble,2017
James Arthur,Say You Won't Let Go,2017
Post Malone & Quavo,Congratulations,2017
"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,2017
"DJ Khaled, Rihanna & Bryson Tiller",Wild Thoughts,2017
"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne",I'm The One,2017
Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),2017
Future,Mask Off,2017
The Chainsmokers & Halsey,Closer,2017
Post Malone & 21 Savage,Rockstar,2017
Zedd & Alessia Cara,Stay,2017
The Weeknd & Daft Punk,I Feel It Coming,2017
Julia Michaels,Issues,2017
Lil Uzi Vert,XO TOUR Llif3,2017
Camila Cabello & Young Thug,Havana,2017
Migos & Lil Uzi Vert,Bad And Boujee,2017
Sam Hunt,Body Like A Back Road,2017
The Chainsmokers,Paris,2017
Liam Payne & Quavo,Strip That Down,2017
"Jason Derulo, Nicki Minaj & Ty Dolla Sign",Swalla,2017
"Portugal, The Man",Feel It Still,2017
Bruno Mars,24K Magic,2017
"Logic, Alessia Cara & Khalid",1-800-273-8255,2017
Pink,What About Us,2017
Niall Horan,Slow Hands,2017
The Weeknd & Daft Punk,Starboy,2017
Cardi B,Bodak Yellow (Money Moves),2017
"Calvin Harris, Pharrell Williams, Katy Perry & Big Sean",Feels,2017
Ed Sheeran,Perfect,2017
Dua Lipa,New Rules,2017
Katy Perry & Skip Marley,Chained To The Rhythm,2017
Childish Gambino,Redbone,2017
Khalid,Location,2017
Ed Sheeran,Galway Girl,2017
Kyle & Lil Yachty,I Spy,2017
Demi Lovato,Sorry Not Sorry,2017
J Balvin & Willy William,Mi gente,2017
Taylor Swift,Look What You Made Me Do,2017
Sam Smith,Too Good At Goodbyes,2017
Rihanna,Love On The Brain,2017
Justin Timberlake,Can't Stop The Feeling,2017
Alessia Cara,Scars To Your Beautiful,2017
Rag'n'Bone Man,Human,2017
Harry Styles,Sign Of The Times,2017
"Calvin Harris, Frank Ocean & Migos",Slide,2017
Zayn & Sia,Dusk Till Dawn,2017
Starley,Call On Me,2017
Drake,Passionfruit,2017
Maroon 5 & SZA,What Lovers Do,2017
Marshmello & Khalid,Silence,2017
David Guetta & Justin Bieber,2U,2017
Jonas Blue & William Singe,Mama,2017
Maroon 5 & Kendrick Lamar,I Don't Wanna Know,2017
21 Savage,Bank Account,2017
Jax Jones & RAYE,You Don't Know Me,2017
Clean Bandit & Zara Larsson,Symphony,2017
Drake,Fake Love,2017
DJ Snake & Justin Bieber,Let Me Love You,2017
Rae Sremmurd & Gucci Mane,Black Beatles,2017
Miley Cyrus,Malibu,2017
Maroon 5 & Future,Cold,2017
Cheat Codes & Demi Lovato,No Promises,2017
Khalid,Young Dumb & Broke,2017
Macklemore & Skylar Grey,Glorious,2017
Big Sean,Bounce Back,2017
Shawn Mendes,Mercy,2017
Burak Yeter & Danelle Sandoval,Tuesday,2017
Martin Garrix & Dua Lipa,Scared To Be Lonely,2017
Axwell L Ingrosso,More Than You Know,2017
Robin Schulz & James Blunt,Ok,2017
Machine Gun Kelly & Camila Cabello,Bad Things,2017
Ke$ha,Praying,2017
Yo Gotti & Nicki Minaj,Rake It Up,2017
Migos,T-Shirt,2017
J Balvin & Willy William & Beyonce,Mi gente,2017
Kendrick Lamar,Dna.,2017
Brett Young,In Case You Didn't Know,2017
Halsey,Now Or Never,2017
Kodak Black,Tunnel Vision,2017
Kendrick Lamar & Rihanna,Loyalty.,2017
Lil Pump,Gucci Gang,2017
Twenty One Pilots,Heathens,2017
Ariana Grande & Nicki Minaj,Side To Side,2017
Ayo & Teo,Rolex,2017
Rag'n'Bone Man,Skin,2017
Jon Bellion,All Time Low,2017
Rae Sremmurd,Swang,2017
Shakira & Maluma,Chantaje,2017
Justin Bieber & BloodPop,Friends,2017
Ed Sheeran,Perfect,2018
Drake,God's Plan,2018
Maroon 5 & Cardi B,Girls Like You,2018
"Cardi B, Bad Bunny & J Balvin",I Like It,2018
Camila Cabello & Young Thug,Havana,2018
Bebe Rexha & Florida Georgia Line,Meant To Be,2018
Post Malone & Ty Dolla Sign,Psycho,2018
Post Malone,Better Now,2018
"Zedd, Maren Morris & Grey",The Middle,2018
Juice WRLD,Lucid Dreams (Forget Me),2018
Calvin Harris & Dua Lipa,One Kiss,2018
Marshmello & Anne-Marie,Friends,2018
Drake,In My Feelings,2018
Post Malone & 21 Savage,Rockstar,2018
Drake,Nice For What,2018
XXXTentacion,Sad!,2018
Khalid & Normani,Love Lies,2018
Ariana Grande,No Tears Left To Cry,2018
5 Seconds of Summer,Youngblood,2018
Camila Cabello,Never Be The Same,2018
Dua Lipa,New Rules,2018
Bruno Mars & Cardi B,Finesse,2018
Bazzi,Mine,2018
Travi$ Scott,Sicko Mode,2018
Tyga & Offset,Taste,2018
Clean Bandit & Demi Lovato,Solo,2018
Marshmello & Bastille,Happier,2018
"Benny Blanco, Halsey & Khalid",Eastside,2018
BlocBoy JB & Drake,Look Alive,2018
Ella Mai,Boo'd Up,2018
"Portugal, The Man",Feel It Still,2018
Dynoro & Gigi D'Agostino,In My Mind,2018
Panic! At the Disco,High Hopes,2018
Ed Sheeran,Shape Of You,2018
"Rudimental, Jess Glynne, Macklemore & Dan Caplen",These Days,2018
Eminem & Ed Sheeran,River,2018
Shawn Mendes,In My Blood,2018
Selena Gomez,Back To You,2018
Kendrick Lamar & SZA,All The Stars,2018
"6ix9ine, Nicki Minaj & Murda Beatz",Fefe,2018
Taylor Swift,Delicate,2018
Imagine Dragons,Whatever It Takes,2018
Dennis Lloyd,Nevermind,2018
G-Eazy & Halsey,Him & I,2018
Luis Fonsi & Demi Lovato,Echame la culpa,2018
Dua Lipa,IDGAF,2018
NF,Let You Down,2018
Ariana Grande,God Is A Woman,2018
Calvin Harris & Sam Smith,Promises,2018
Nicky Jam & J Balvin,X,2018
Lil Baby & Drake,Yes Indeed,2018
Imagine Dragons,Natural,2018
Lil Dicky & Chris Brown,Freaky Friday,2018
The Weeknd & Kendrick Lamar,Pray For Me,2018
Lauy,I Like Me Better,2018
Imagine Dragons,Thunder,2018
Justin Timberlake & Chris Stapleton,Say Something,2018
Dan & Shay,Tequila,2018
Drake,Nonstop,2018
David Guetta & Sia,Flames,2018
"DJ Snake, Selena Gomez, Ozuna & Cardi B",Taki Taki,2018
Lady Gaga & Bradley Cooper,Shallow,2018
Tom Walker,Leave A Light On,2018
Selena Gomez & Marshmello,Wolves,2018
Migos & Drake,Walk It Talk It,2018
Keala Settle & The Greatest Showman Ensemble,This Is Me,2018
Halsey,Without Me,2018
"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne",No Brainer,2018
Childish Gambino,This Is America,2018
Post Malone,I Fall Apart,2018
Loud Luxury & Brando,Body,2018
George Ezra,Shotgun,2018
Ariana Grande,"Thank U, Next",2018
Kanye West & Lil Pump,I Love It,2018
Migos,Stir Fry,2018
"Jonas Blue, Jack & Jack",Rise,2018
Offset & Metro Boomin,Ric Flair Drip,2018
XXXTentacion,Moonlight,2018
The Weeknd,Call Out My Name,2018
"Tiesto, Dzeko, Preme & Post Malone",Jackie Chan,2018
Luis Fonsi & Daddy Yankee,Despacito,2018
Kane Brown,Heaven,2018
Ariana Grande,Breathin,2018
Halsey,Bad At Love,2018
"Kodak Black, Travi$ Scott & Offset",Zeze,2018
Rich The Kid,Plug Walk,2018
Daddy Yankee,Dura,2018
Cardi B & 21 Savage,Bartier Cardi,2018
"G-Eazy, ASAP Rocky & Cardi B",No Limit,2018
Charlie Puth,How Long,2018
Sheck Wes,Mo Bamba,2018
Liam Payne & Rita Ora,For You (Fifty Shades Freed),2018
Ella Mai,Trip,2018
Cardi B,Be Careful,2018
Bazzi & Camila Cabello,Beautiful,2018
"YG, 2 Chainz, Big Sean & Nicki Minaj",Big Bank,2018
Dean Lewis,Be Alright,2018
El Profesor,Bella ciao (Hugel Remix),2018
"Migos, Nicki Minaj & Cardi B",MotorSport,2018
Lil Baby & Gunna,Drip Too Hard,2018
Lil Nas X & Billy Ray Cyrus,Old Town Road,2019
Billie Eilish,Bad Guy,2019
Lewis Capaldi,Someone You Loved,2019
Shawn Mendes & Camila Cabello,Senorita,2019
Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2019
Ed Sheeran & Justin Bieber,I Don't Care,2019
Post Malone,Wow.,2019
Jonas Brothers,Sucker,2019
Ariana Grande,7 Rings,2019
Ava Max,Sweet But Psycho,2019
Halsey,Without Me,2019
Lady Gaga & Bradley Cooper,Shallow,2019
Lizzo,Truth Hurts,2019
Khalid,Talk,2019
Sam Smith & Normani,Dancing With A Stranger,2019
Panic! At the Disco,High Hopes,2019
Marshmello & Bastille,Happier,2019
Chris Brown & Drake,No Guidance,2019
Post Malone,Circles,2019
Ed Sheeran & Khalid,Beautiful People,2019
Lil Tecca,Ran$om,2019
Lil Nas X,Panini,2019
Post Malone & Young Thug,Goodbyes,2019
"Benny Blanco, Halsey & Khalid",Eastside,2019
Travi$ Scott,Sicko Mode,2019
Tones And I,Dance Monkey,2019
Maroon 5,Memories,2019
Meek Mill & Drake,Going Bad,2019
DaBaby,Suge,2019
Lizzo,Good As Hell,2019
Ariana Grande,"Thank U, Next",2019
Drake & Rick Ross,Money In The Grave,2019
Shawn Mendes,If I Can't Have You,2019
J Cole,Middle Child,2019
Khalid,Better,2019
SHAED,Trampoline,2019
Sam Smith,How Do You Sleep?,2019
Taylor Swift,You Need To Calm Down,2019
Ariana Grande,"Break Up With Your Girlfriend, I'm",2019
Maroon 5 & Cardi B,Girls Like You,2019
Travi$ Scott,Highest In The Room,2019
Selena Gomez,Lose You To Love Me,2019
Jonas Brothers,Only Human,2019
A Boogie Wit Da Hoodie,Look Back At It,2019
Dan & Shay & Justin Bieber,"10,000 Hours",2019
Dean Lewis,Be Alright,2019
Calvin Harris & Rag'n'Bone Man,Giant,2019
Billie Eilish,Bury A Friend,2019
Taylor Swift,Lover,2019
Blanco Brown,The Git Up,2019
Marshmello & Kane Brown,One Thing Right,2019
Bruno Mars & Cardi B,Please Me,2019
Polo G & Lil Tjay,Pop Out,2019
Meduza & Goodboys,Piece Of Your Heart,2019
Mariah Carey,All I Want For Christmas Is You,2019
Young Thug & Gunna,Hot,2019
Mustard & Roddy Ricch,Ballin',2019
Taylor Swift & Brendon Urie,Me!,2019
21 Savage,A Lot,2019
Mark Ronson & Miley Cyrus,Nothing Breaks Like A Heart,2019
Blueface,Thotiana,2019
"DJ Snake, Selena Gomez, Ozuna & Cardi B",Taki Taki,2019
Lil Baby & Gunna,Drip Too Hard,2019
Arizona Zervas,Roxanne,2019
blackbear,Hot Girl Bummer,2019
Kygo & Whitney Houston,Higher Love,2019
Lil Baby & DaBaby,Baby,2019
Daddy Yankee & Snow,Con Calma,2019
"Young Thug, J Cole & Travi$ Scott",The London,2019
Mustard & Migos,Pure Water,2019
Juice WRLD & Youngboy Never Broke Again,Bandit,2019
Wale & Jeremih,On Chill,2019
Pink,Walk Me Home,2019
Y2K & bbno$,Lalala,2019
Post Malone,Better Now,2019
Morgan Wallen,Whiskey Glasses,2019
Pinkfong,Baby Shark,2019
Billie Eilish,When The Party's Over,2019
Bad Bunny & Drake,Mia,2019
5 Seconds of Summer,Youngblood,2019
Blake Shelton,God's Country,2019
"Kodak Black, Travi$ Scott & Offset",Zeze,2019
Dan & Shay,Speechless,2019
Luke Combs,Beautiful Crazy,2019
Old Dominion,One Man Band,2019
Avicii & Aloe Blacc,SOS,2019
A Boogie Wit Da Hoodie & 6ix9ine,Swervin,2019
Calboy,Envy Me,2019
"Ellie Goulding, Diplo & Swae Lee",Close To Me,2019
Summer Walker,Playing Games,2019
Halsey,Graveyard,2019
Luke Combs,Even Though I'm Leaving,2019
Panic! At the Disco,"Hey Look Ma, I Made It",2019
Juice WRLD,Lucid Dreams (Forget Me),2019
Luke Combs,Beer Never Broke My Heart,2019
YNW Melly,Murder On My Mind,2019
Cardi B,Money,2019
Lauren Daigle,You Say,2019
Post Malone & Ozzy Osbourne & Travi$ Scott,Take What You Want,2019
DaBaby,BOP,2019
The Weeknd,Blinding Lights,2020
Roddy Ricch,The Box,2020
Dua Lipa,Don't Start Now,2020
Post Malone,Circles,2020
Future & Drake,Life Is Good,2020
Tones And I,Dance Monkey,2020
Maroon 5,Memories,2020
Lewis Capaldi,Someone You Loved,2020
Harry Styles,Adore You,2020
Billie Eilish,everything i wanted,2020
Arizona Zervas,Roxanne,2020
Justin Bieber & Quavo,Intentions,2020
Trevor Daniel,Falling,2020
Lewis Capaldi,Before You Go,2020
blackbear,Hot Girl Bummer,2020
Drake,Toosie Slide,2020
Maren Morris,The Bones,2020
Lil Mosey,Blueberry Faygo,2020
Doja Cat,Say So,2020
Camila Cabello & DaBaby,My Oh My,2020
Billie Eilish,Bad Guy,2020
Roddy Ricch & Mustard,High Fashion,2020
Eminem & Juice WRLD,Godzilla,2020
Mustard & Roddy Ricch,Ballin',2020
Dan & Shay & Justin Bieber,"10,000 Hours",2020
SAINt JHN,Roses,2020
Halsey,You Should Be Sad,2020
The Weeknd,Heartless,2020
Gabby Barrett,I Hope,2020
Surfaces,Sunday Best,2020
Justin Bieber,Yummy,2020
Selena Gomez,Lose You To Love Me,2020
DaBaby,BOP,2020
Lizzo,Good As Hell,2020
Doja Cat & Nicki Minaj,Say So,2020
Megan Thee Stallion & Beyonce,Savage,2020
Benee & Gus Dapperton,Supalonely,2020
Dua Lipa,Break My Heart,2020
Pop Smoke,Dior,2020
Shawn Mendes & Camila Cabello,Senorita,2020
SAINt JHN,Roses (Imanbek Remix),2020
DaBaby & Roddy Ricch,Rockstar,2020
Morgan Wallen,Chasin' You,2020
Blake Shelton Duet With Gwen Stefani,Nobody But You,2020
The Black Eyed Peas & J Balvin,RITMO (Bad Boys For Life),2020
Karol G & Nicki Minaj,Tusa,2020
Lady GaGa,Stupid Love,2020
Travi$ Scott,Highest In The Room,2020
Regard,Ride It,2020
Chris Brown & Drake,No Guidance,2020
Jonas Brothers,What A Man Gotta Do,2020
Lil Baby,Woah,2020
Dua Lipa,Physical,2020
The Scotts,The Scotts,2020
Carly Pearce & Lee Brice,I Hope You're Happy Now,2020
Rod Wave,Heart On Ice,2020
Topic & A7s,Breaking Me,2020
The Weeknd,In Your Eyes,2020
Harry Styles,Watermelon Sugar,2020
Lil Baby,Sum 2 Prove,2020
Lady Gaga & Ariana Grande,Rain On Me,2020
Powfu & Beabadoobee,Death Bed,2020
Powfu & beabadoobee,Death Bed,2020
Jhene Aiko,P*$$y Fairy (OTW),2020
Ariana Grande & Justin Bieber,Stuck With U,2020
"Jack Harlow & DaBaby, Tory Lanez & Lil Wayne",WHATS POPPIN,2020
Ed Sheeran & Justin Bieber,I Don't Care,2020
H.E.R. & YG,Slide,2020
Kane Brown,Homesick,2020
Ingrid Andress,More Hearts Than Mine,2020
SHAED,Trampoline,2020
JACKBOYS & Young Thug,OUT WEST,2020
Russ & BIA,BEST ON EARTH,2020
